campaignBudget,proposedRate,instagramFollowers,youtubeSubscribers,contentIdeaQuality,previousWorkExperience,status
40000,5000,15000,3000,good,strong,accepted
80000,10000,80000,50000,good,strong,accepted
12000,10000,3000,500,average,medium,rejected
150000,50000,500000,100000,good,strong,accepted
20000,18000,4000,200,poor,weak,rejected
50000,40000,10000,3000,average,medium,rejected
60000,25000,50000,15000,good,strong,accepted
100000,20000,120000,25000,good,medium,accepted
30000,29000,9000,400,average,weak,rejected
90000,15000,100000,20000,good,strong,accepted
75000,50000,25000,5000,average,medium,rejected
5000,4000,1500,0,average,weak,rejected
25000,5000,10000,2000,good,medium,accepted
140000,60000,400000,50000,good,strong,accepted
35000,15000,8000,500,average,medium,rejected
45000,10000,12000,1000,good,medium,accepted
18000,17000,3000,200,poor,weak,rejected
200000,120000,900000,300000,good,strong,accepted
15000,14000,2000,100,poor,weak,rejected
60000,55000,15000,2000,average,medium,rejected
120000,90000,500000,120000,good,strong,accepted
40000,30000,10000,2000,average,medium,rejected
30000,5000,20000,5000,good,medium,accepted
50000,15000,40000,7000,good,strong,accepted
110000,30000,250000,50000,good,strong,accepted
15000,5000,5000,1000,average,medium,rejected
80000,20000,60000,15000,good,strong,accepted
90000,70000,20000,4000,average,medium,rejected
130000,80000,700000,150000,good,strong,accepted
25000,24000,6000,500,poor,weak,rejected
100000,30000,300000,60000,good,strong,accepted
